"","Chi-square","P-value","Odds Ratio (Anaphylaxis/Not)"
"Panic disorder",5.62402589466793,0.0177159087751587,Inf
"Skin test negative",5.62402589466793,0.0177159087751587,Inf
"Arrhythmia supraventricular",5.62402589466793,0.0177159087751587,Inf
"Steroid therapy",5.62402589466793,0.0177159087751587,Inf
"Oropharyngeal spasm",5.62402589466793,0.0177159087751587,Inf
"Soft tissue inflammation",5.62402589466793,0.0177159087751587,Inf
"Fluid retention",2.22066574367145e-24,0.999999999998811,0
"Laryngospasm",5.62402589466793,0.0177159087751587,Inf
"Idiopathic urticaria",26.7719001827942,2.28942317130455e-07,Inf
"Vaccination site erythema",5.62402589466793,0.0177159087751587,Inf
"Oral pain",1.29013413873451,0.256023232072164,12.2733050847458
"Alanine aminotransferase",1.45338705205618e-26,0.999999999999904,0.939934533551555
"Heart rate",28.6141026039249,8.83364822829468e-08,3.53763440860215
"Barium swallow normal",5.62402589466793,0.0177159087751587,Inf
"Lip discolouration",5.62402589466793,0.0177159087751587,Inf
"Spinal column stenosis",2.22066574367145e-24,0.999999999998811,0
"Plantar fasciitis",5.62402589466793,0.0177159087751587,Inf
"Dissociation",0.778981924512267,0.377452684390462,8.18079096045198
"Consciousness fluctuating",2.22066574367145e-24,0.999999999998811,0
"Food aversion",5.62402589466793,0.0177159087751587,Inf
"Troponin",5.47467043416383,0.0192939983536758,4.12804005722461
"Pain in extremity",5.1235959710929,0.0236026578488801,0.31334749689875
"Bronchitis",4.78214177479439,0.0287563337238459,3.809177946517
"Myalgia",4.76368518795301,0.0290662519168788,0.277393830128205
"Blood pressure decreased",4.74456442498945,0.0293909931821965,4.94017094017094
"Metabolic function test",4.67200989657101,0.0306580284530892,2.19530102790015
"Convulsion",4.46416069175528,0.0346130904950555,0
"Oxygen supplementation",4.30070595682061,0.0380965559630218,4.63060897435897
"Computerised tomogram",4.20546921624415,0.0402938254399861,0.232070576024909
"Diarrhoea",4.19381458427502,0.0405717090036021,0.343285438825652
"Productive cough",4.18625333978926,0.0407530686611231,3.53586756591048
"Gait disturbance",4.043527212633,0.04434105366624,0
"Serum sickness",3.87425803873336,0.0490319774611408,7.0370820668693
"Hypokalaemia",3.87425803873336,0.0490319774611408,7.0370820668693
"Bronchospasm",3.87425803873336,0.0490319774611408,7.0370820668693
"Hypoventilation",3.87425803873336,0.0490319774611408,7.0370820668693
"Neutrophil count increased",3.80171841839814,0.0512000111573817,2.88291900561347
"Hyperhidrosis",3.75355771439586,0.0526952387066389,1.96602402022756
"Muscular weakness",3.74052861977489,0.0531076411334173,0.247028993495756
"Inappropriate schedule of drug administration",3.66682209975228,0.0555059209592841,0
"Nuclear magnetic resonance imaging brain",3.66682209975228,0.0555059209592841,0
"Dysgeusia",3.4374011821911,0.0637358734946099,3.1920254741797
"Urine analysis normal",3.2878793054884,0.0697931121129257,2.44155844155844
"Hyperglycaemia",3.2524574587028,0.071316459341612,6.1563829787234
"Blood creatinine normal",3.2524574587028,0.071316459341612,6.1563829787234
"Local swelling",3.2524574587028,0.071316459341612,6.1563829787234
"Fibrin D dimer",3.2524574587028,0.071316459341612,6.1563829787234
"Facial palsy",3.16757905339882,0.0751137103468458,0
"Cardiac enzymes normal",2.94640118105755,0.0860690268719318,3.70192307692308
"Inflammation",2.94640118105755,0.0860690268719318,3.70192307692308
"Tremor",2.93709637675622,0.0865662172109475,1.88993458817247
"Pallor",2.90597296510318,0.0882519839068471,1.77546351084813
"Full blood count",2.78616864941262,0.0950813102994832,1.64977477477477
"Body temperature normal",2.7510902168581,0.0971881396167139,5.47139479905437
"Red blood cell sedimentation rate",2.52816259661879,0.111830368090396,2.06920289855072
"Pharyngitis",2.43606989915488,0.11857296931351,2.18754774637128
"Death",2.38558718514658,0.122458871613259,0
"Fall",2.38558718514658,0.122458871613259,0
"Culture negative",2.38558718514658,0.122458871613259,0
"Acute sinusitis",2.35322433689264,0.125024173192343,24.5508474576271
"Radioallergosorbent test negative",2.35322433689264,0.125024173192343,24.5508474576271
"Ultrasound thyroid abnormal",2.35322433689264,0.125024173192343,24.5508474576271
"Blood phosphorus decreased",2.35322433689264,0.125024173192343,24.5508474576271
"Obstructive airways disorder",2.35322433689264,0.125024173192343,24.5508474576271
"Eye oedema",2.35322433689264,0.125024173192343,24.5508474576271
"Nasal oedema",2.35322433689264,0.125024173192343,24.5508474576271
"Anaphylactic shock",2.35322433689264,0.125024173192343,24.5508474576271
"Circulatory collapse",2.35322433689264,0.125024173192343,24.5508474576271
"Complement factor C3 increased",2.35322433689264,0.125024173192343,24.5508474576271
"Lip oedema",2.35322433689264,0.125024173192343,24.5508474576271
"Lip pain",2.35322433689264,0.125024173192343,24.5508474576271
"HIV test negative",2.35322433689264,0.125024173192343,24.5508474576271
"Red blood cell sedimentation rate decreased",2.35322433689264,0.125024173192343,24.5508474576271
"Muscle contracture",2.35322433689264,0.125024173192343,24.5508474576271
"Sleep study abnormal",2.22066574367145e-24,0.999999999998811,0
"Computerised tomogram thorax normal",5.62402589466793,0.0177159087751587,Inf
"Oropharyngeal swelling",5.62402589466793,0.0177159087751587,Inf
"Lip disorder",1.49856114379299e-27,0.999999999999969,0
"Endometrial disorder",2.22066574367145e-24,0.999999999998811,0
"Blood lactic acid decreased",2.22066574367145e-24,0.999999999998811,0
"Vaccination site pruritus",5.62402589466793,0.0177159087751587,Inf
"Pharyngeal hypoaesthesia",2.35322433689264,0.125024173192343,24.5508474576271
"Dyspepsia",2.34005134931559,0.126085397677398,4.92340425531915
"Tongue disorder",2.34005134931559,0.126085397677398,4.92340425531915
"Haemorrhage",2.26327194972576,0.132473906615423,0
"Pregnancy",2.20896243090572,0.137210928012405,0.439185730598102
"Sneezing",2.17348250067897,0.140407953695304,2.60085836909871
"Drug exposure during pregnancy",2.11485846742209,0.14587553934235,0.445553448447949
"Guillain-Barre syndrome",2.06026834774486,0.151183544296592,0
"Cyanosis",2.04137260879442,0.153071468080203,3.08279914529915
"Cardiac enzymes",2.04137260879442,0.153071468080203,3.08279914529915
"Computerised tomogram normal",1.99054850218733,0.158283540446823,0.218990755007704
"Electroencephalogram",1.97939435118243,0.159454225155081,0
"Rash generalised",1.95079924153363,0.162500750871343,2.03593666607365
"Abortion spontaneous",1.89872447598807,0.168221160256837,0
"Neutrophil count",1.83921385045295,0.175043116732194,2.16954022988506
"Nuclear magnetic resonance imaging abnormal",1.77813173057197,0.182378906602688,0
"Lumbar puncture",1.73805156852743,0.187385895364007,0
"Paresis",1.73805156852743,0.187385895364007,0
"Blood potassium decreased",1.69926875566936,0.192383635688592,2.84467455621302
"Rash papular",1.69803360069198,0.192545340157303,0
"Unevaluable event",1.69803360069198,0.192545340157303,0
"Lethargy",1.69743413938515,0.192623877860243,0.236498836822865
"Electromyogram",1.57837651947659,0.208994697808816,0
"Arthralgia",1.52921221120943,0.21623071630009,0.440196998123827
"Computerised tomogram abnormal",1.49896228944292,0.220831099691139,0
"Headache",1.47729356391521,0.224198449884585,0.754837465963035
"Culture urine positive",1.46827523608823,0.225618019855859,3.78527004909984
"Incorrect dose administered",1.45937122435468,0.227030192021441,0
"Transfusion",1.41986196971204,0.233426123514847,0
"Urine analysis",1.39571026286443,0.237443134938739,1.68070461105766
"Full blood count normal",1.38729046794911,0.23886320813499,1.75107597716293
"Blood culture negative",1.38043815659194,0.240026527437427,0
"Nuclear magnetic resonance imaging brain normal",1.38043815659194,0.240026527437427,0
"Injection site swelling",1.37941337405397,0.240201096334074,0.454442831801322
"Mobility decreased",1.34110368066185,0.246839425673559,0
"Nerve conduction studies",1.34110368066185,0.246839425673559,0
"Rash pruritic",1.33893724825563,0.247221473589963,1.8322911656245
"Blood count normal",1.32869176923906,0.249038086777557,1.73326086956522
"Blood product transfusion",1.30186272667836,0.253873255306807,0
"CSF protein increased",1.30186272667836,0.253873255306807,0
"Gastric disorder",2.22066574367145e-24,0.999999999998811,0
"Allergy test negative",1.29013413873451,0.256023232072164,12.2733050847458
"Jaw disorder",1.29013413873451,0.256023232072164,12.2733050847458
"Blood immunoglobulin E increased",1.29013413873451,0.256023232072164,12.2733050847458
"DNA antibody negative",1.29013413873451,0.256023232072164,12.2733050847458
"Culture positive",0.0440751586486615,0.833713842374899,0
"Supraventricular tachycardia",1.29013413873451,0.256023232072164,12.2733050847458
"Respiratory rate",11.5137610044385,0.000690828617888323,7.08890251379522
"Laryngeal oedema",1.29013413873451,0.256023232072164,12.2733050847458
"Loss of control of legs",2.22066574367145e-24,0.999999999998811,0
"Benign prostatic hyperplasia",2.22066574367145e-24,0.999999999998811,0
"Denervation atrophy",2.22066574367145e-24,0.999999999998811,0
"Coagulation test abnormal",2.22066574367145e-24,0.999999999998811,0
"Fatigue",1.28158538617659,0.257604467565924,0.67455184933061
"Blood phosphorus",1.26049883730577,0.261556688617936,3.51428571428571
"Influenza",1.23379189030515,0.266670871128283,0.46961371961372
"Nuclear magnetic resonance imaging brain abnormal",1.22367973580296,0.268639709419283,0
"Contraindication to vaccination",1.22367973580296,0.268639709419283,0
"Laboratory test",1.19643847667948,0.274034675756899,0.399085633901882
"Oropharyngeal pain",1.18975338410677,0.275379307275171,1.38943982846422
"Areflexia",1.18474777548499,0.27639155805143,0
"Pain",1.14805115886999,0.283957482173529,0.835707502374169
"Irritability",1.14592956233639,0.284402858664295,0
"Vertigo",1.10723120548306,0.292684615881179,0
"Dyskinesia",1.10723120548306,0.292684615881179,0
"Nuclear magnetic resonance imaging normal",1.10723120548306,0.292684615881179,0
"Electrocardiogram abnormal",1.09077484892071,0.296299591169077,2.05543633762518
"Heart rate irregular",1.0819554649303,0.298260516701792,3.27943262411348
"Injection site pruritus",1.03934319348075,0.307974276929277,1.72425249169435
"Feeling cold",1.03022109977239,0.310106743354782,0
"Chills",0.999998175282235,0.317310949391597,0.675370065789474
"Intra-uterine death",0.991924341507215,0.319272503022469,0
"Injection site reaction",0.963290233995988,0.326359295551245,2.30889423076923
"Herpes zoster",0.953777551479425,0.328759614433586,0
"Nasopharyngitis",0.940437452469215,0.332165365467713,1.9725321888412
"Blood electrolytes",0.927775203981212,0.335441704991662,3.07393617021277
"Vomiting",0.925380774603025,0.336066111508622,0.753482737734706
"Dehydration",0.915790005829011,0.338582812747747,0
"Aspartate aminotransferase increased",0.915790005829011,0.338582812747747,0
"Musculoskeletal pain",0.906210779276005,0.341121813524431,0.306586569405707
"Facial paresis",0.877971844241247,0.348757777212502,0
"Neutrophil percentage increased",0.877971844241247,0.348757777212502,0
"Hepatitis toxic",2.22066574367145e-24,0.999999999998811,0
"Culture",0.87757518236085,0.348866678547752,0.51409347154028
"Activities of daily living impaired",0.840334172749158,0.359301214745123,0
"Blood thyroid stimulating hormone",0.840334172749158,0.359301214745123,0
"Decreased appetite",0.814317640884374,0.36684680998454,0.448148148148148
"Stress",0.806664706807386,0.369108172035604,1.89600528227138
"Vaginal haemorrhage",0.80288918158023,0.370230953177752,0
"Echocardiogram normal",0.794113386158794,0.372859218813098,2.89261576971214
"Hot flush",0.794113386158794,0.372859218813098,2.89261576971214
"Asthenopia",0.778981924512267,0.377452684390462,8.18079096045198
"Chronic obstructive pulmonary disease",0.778981924512267,0.377452684390462,8.18079096045198
"Head discomfort",0.778981924512267,0.377452684390462,8.18079096045198
"Immunisation reaction",0.778981924512267,0.377452684390462,8.18079096045198
"Eosinophil count increased",0.778981924512267,0.377452684390462,8.18079096045198
"Blood chloride normal",0.778981924512267,0.377452684390462,8.18079096045198
"Aspartate aminotransferase normal",0.778981924512267,0.377452684390462,8.18079096045198
"Lymphadenitis",0.778981924512267,0.377452684390462,8.18079096045198
"Urine colour abnormal",0.778981924512267,0.377452684390462,8.18079096045198
"Blood creatine phosphokinase decreased",1.49856114379299e-27,0.999999999999969,0
"Scan myocardial perfusion normal",5.62402589466793,0.0177159087751587,Inf
"Spina bifida",2.22066574367145e-24,0.999999999998811,0
"Blood pressure increased",0.757842505991907,0.384004549328915,1.7130627394636
"Injection site warmth",0.748687590913893,0.386892065607202,0.327588181401741
"Blood culture",0.748687590913893,0.386892065607202,0.327588181401741
"Adverse event",0.728632256086302,0.39332688707491,0
"Platelet count decreased",0.728632256086302,0.39332688707491,0
"Neurological examination",0.728632256086302,0.39332688707491,0
"Somnolence",0.718030196014447,0.396790801622604,0.332133735778964
"Red blood cell sedimentation rate normal",0.711391687947796,0.398982192032065,2.10989010989011
"Red blood cell sedimentation rate increased",0.711391687947796,0.398982192032065,2.10989010989011
"Wrong drug administered",0.691851450991923,0.405535346673358,0
"White blood cell count increased",0.68100835861228,0.409239715613314,1.51666666666667
"No adverse event",0.655325976171875,0.418214915346603,0
"Ultrasound antenatal screen",0.655325976171875,0.418214915346603,0
"Infection",0.65341922562856,0.418892863322371,0.550019425019425
"Nausea",0.644605215466421,0.422048085167391,1.2026977383082
"Blood albumin",0.619075955479484,0.431390874033006,0
"Dysstasia",0.583123813428512,0.445090484131489,0
"Blood creatinine increased",0.583123813428512,0.445090484131489,0
"Contusion",0.583123813428512,0.445090484131489,0
"Electromyogram abnormal",0.583123813428512,0.445090484131489,0
"Disorientation",0.576628001990412,0.447637080067448,2.58723404255319
"Injection site pain",0.57443732611247,0.448501009295842,0.67738803252822
"CSF culture negative",0.547494613524892,0.45934320447569,0
"Musculoskeletal stiffness",0.541010981725958,0.462014044624635,0.36225651403997
"Nerve conduction studies abnormal",0.512216458113332,0.474180939304809,0
"Epistaxis",0.512216458113332,0.474180939304809,0
"Electroencephalogram normal",0.512216458113332,0.474180939304809,0
"Blood test",0.494472127994363,0.481939143900838,0.581538461538462
"Allergy to plants",0.488613024475574,0.484546655611885,6.13453389830508
"Thyroid function test normal",0.488613024475574,0.484546655611885,6.13453389830508
"Atrial fibrillation",0.488613024475574,0.484546655611885,6.13453389830508
"Fibrin D dimer increased",0.488613024475574,0.484546655611885,6.13453389830508
"Basophil percentage",0.488613024475574,0.484546655611885,6.13453389830508
"Blood sodium normal",0.488613024475574,0.484546655611885,6.13453389830508
"Mean cell volume increased",0.488613024475574,0.484546655611885,6.13453389830508
"Foetal hypokinesia",0.488613024475574,0.484546655611885,6.13453389830508
"Depressed mood",0.488613024475574,0.484546655611885,6.13453389830508
"Blood human chorionic gonadotropin negative",0.488613024475574,0.484546655611885,6.13453389830508
"Ventricular tachycardia",0.488613024475574,0.484546655611885,6.13453389830508
"Serum ferritin increased",1.49856114379299e-27,0.999999999999969,0
"Wound drainage",2.22066574367145e-24,0.999999999998811,0
"Respiratory distress",0.48827738589404,0.484696731007829,2.45744680851064
"Hyporeflexia",0.47732096319515,0.489638322711207,0
"Oesophageal disorder",1.49856114379299e-27,0.999999999999969,0
"Abnormal behaviour",0.442843825146338,0.505753046204337,0
"Ultrasound scan",0.430678907186592,0.511656006759114,0.385525961797148
"Visual impairment",0.411159550086112,0.521381549553015,2.34002026342452
"Urinary tract infection",0.408825500779245,0.522566237476994,0
"Culture urine negative",0.408825500779245,0.522566237476994,0
"Injection site urticaria",0.408825500779245,0.522566237476994,0
"Upper respiratory tract congestion",0.408825500779245,0.522566237476994,0
"Prothrombin time",0.408825500779245,0.522566237476994,0
"Blood creatine phosphokinase increased",0.375312028106672,0.540122900275044,0
"Head injury",0.375312028106672,0.540122900275044,0
"Liver function test",0.375312028106672,0.540122900275044,0
"Burning sensation",0.368812725196707,0.543652146895006,1.6137339055794
"Skin warm",0.361534267039353,0.54765537519016,1.5015243902439
"Hypoaesthesia facial",0.352790273667698,0.552537857901112,0.405014124293785
"Respiratory tract congestion",0.352790273667698,0.552537857901112,0.405014124293785
"Skin discolouration",0.343872095863678,0.55760265650544,2.23326885880077
"White blood cell count normal",0.343872095863678,0.55760265650544,2.23326885880077
"Uterine dilation and curettage",0.342356022983991,0.558472427563696,0
"Scan brain",0.342356022983991,0.558472427563696,0
"Influenza like illness",0.32787290569733,0.566914290809491,0.411950588911232
"Muscle spasms",0.320807434586581,0.57112280995124,0.551934235976789
"Injected limb mobility decreased",0.310017897227285,0.577669203096169,0
"Grand mal convulsion",0.310017897227285,0.577669203096169,0
"Sensory loss",0.310017897227285,0.577669203096169,0
"Blood albumin decreased",0.310017897227285,0.577669203096169,0
"Injection site erythema",0.309897532792346,0.577743070113282,0.753429951690821
"Dizziness postural",0.308642553199635,0.578514365870502,4.90677966101695
"Brain natriuretic peptide increased",0.308642553199635,0.578514365870502,4.90677966101695
"Glossodynia",0.308642553199635,0.578514365870502,4.90677966101695
"Urine human chorionic gonadotropin negative",0.308642553199635,0.578514365870502,4.90677966101695
"Blood potassium normal",0.308642553199635,0.578514365870502,4.90677966101695
"Granulocyte percentage",0.308642553199635,0.578514365870502,4.90677966101695
"Oesophagogastroduodenoscopy",0.308642553199635,0.578514365870502,4.90677966101695
"Ventricular extrasystoles",0.308642553199635,0.578514365870502,4.90677966101695
"Restlessness",0.308642553199635,0.578514365870502,4.90677966101695
"Iritis",2.22066574367145e-24,0.999999999998811,0
"Insomnia",0.303521412182103,0.581683187201811,0.419126241963764
"Pneumonia",0.279764341942763,0.59685571695297,0.426553672316384
"Echocardiogram",0.278420926063158,0.597738070308803,1.7149672033393
"Arthritis",0.27836735783569,0.59777331021766,0
"Body temperature increased",0.277869708279599,0.598100896797895,0.638888888888889
"Malaise",0.265313065654658,0.606493279219973,0.72185447454844
"Immunoglobulin therapy",0.247485266027083,0.61885137154064,0
"Injection site anaesthesia",0.247485266027083,0.61885137154064,0
"Anaemia",0.247485266027083,0.61885137154064,0
"Ultrasound antenatal screen abnormal",0.247485266027083,0.61885137154064,0
"White blood cell count decreased",0.247485266027083,0.61885137154064,0
"International normalised ratio",0.247485266027083,0.61885137154064,0
"CSF test",0.247485266027083,0.61885137154064,0
"Cold sweat",0.242499252148439,0.622406821959021,1.6756993006993
"Blood urea increased",0.234157865079748,0.628457826673312,0.442218798151002
"Walking aid user",0.217465961032701,0.640977549363804,0
"Febrile convulsion",0.217465961032701,0.640977549363804,0
"Purpura",0.217465961032701,0.640977549363804,0
"Ear pain",0.212376310883389,0.64491121752607,0.450486503452605
"Laboratory test normal",0.212376310883389,0.64491121752607,0.450486503452605
"Unresponsive to stimuli",0.212376310883389,0.64491121752607,0.450486503452605
"Rheumatoid factor negative",0.19176270649872,0.661453563777146,4.08827683615819
"Agitation",0.19176270649872,0.661453563777146,4.08827683615819
"Extrasystoles",0.19176270649872,0.661453563777146,4.08827683615819
"Mean cell haemoglobin increased",0.19176270649872,0.661453563777146,4.08827683615819
"Rhonchi",9.67273894802013e-31,0.999999999999999,0
"Speech disorder",0.190084492330128,0.662846304596865,1.96425531914894
"Weight decreased",0.190084492330128,0.662846304596865,1.96425531914894
"Red blood cells CSF positive",0.188420190099055,0.664234744867634,0
"Diplopia",0.188420190099055,0.664234744867634,0
"Tobacco abuse",2.22066574367145e-24,0.999999999998811,0
"Condition aggravated",0.186309803968803,0.666005848298725,1.38173188686556
"Lymphadenopathy",0.17104540949627,0.679184385583987,0.467975880052151
"C-reactive protein normal",0.160478837581273,0.688716044885967,0
"Ataxia",0.160478837581273,0.688716044885967,0
"Movement disorder",0.160478837581273,0.688716044885967,0
"Neurological examination normal",0.160478837581273,0.688716044885967,0
"Ultrasound Doppler",0.160478837581273,0.688716044885967,0
"Respiratory failure",0.160478837581273,0.688716044885967,0
"Diabetes mellitus",0.160478837581273,0.688716044885967,0
"White blood cell count",0.154167177580449,0.694584443471678,1.22433847048561
"Impaired work ability",0.151990148238681,0.69664071023338,1.88837970540098
"Neuropathy peripheral",0.133797719491684,0.714526479378546,0
"Blood thyroid stimulating hormone normal",0.133797719491684,0.714526479378546,0
"Mental status changes",0.133797719491684,0.714526479378546,0
"Blood creatinine decreased",0.133797719491684,0.714526479378546,0
"Electroencephalogram abnormal",0.133797719491684,0.714526479378546,0
"Echocardiogram abnormal",0.133797719491684,0.714526479378546,0
"Hypotonia",0.133797719491684,0.714526479378546,0
"Neuralgia",0.133797719491684,0.714526479378546,0
"Sputum purulent",1.29013413873451,0.256023232072164,12.2733050847458
"Clonus",1.63056854044922e-25,0.999999999999678,0
"Abdominal pain",0.133665426219738,0.714661466215147,0.822885056620531
"Constipation",0.119347060777887,0.72974373641726,1.81812450748621
"Abdominal pain upper",0.118305561285698,0.730879560690482,0.748101683724001
"Abdominal discomfort",0.115286749754621,0.734203703273286,0.49688689034936
"Rheumatoid factor",0.114319585654547,0.735278942618731,3.50363196125908
"Erythema multiforme",0.114319585654547,0.735278942618731,3.50363196125908
"Flank pain",0.114319585654547,0.735278942618731,3.50363196125908
"Deep vein thrombosis",0.114319585654547,0.735278942618731,3.50363196125908
"Respiratory disorder",0.114319585654547,0.735278942618731,3.50363196125908
"Cardiac stress test",0.114319585654547,0.735278942618731,3.50363196125908
"Blood urea normal",0.114319585654547,0.735278942618731,3.50363196125908
"Glomerular filtration rate normal",0.114319585654547,0.735278942618731,3.50363196125908
"Blood phosphorus increased",0.114319585654547,0.735278942618731,3.50363196125908
"Neck pain",0.112429629471235,0.737394812675398,0.708488922081155
"Electromyogram normal",0.108563816412977,0.741785171959569,0
"Urine ketone body present",0.108563816412977,0.741785171959569,0
"Renal failure",0.108563816412977,0.741785171959569,0
"Sinus congestion",0.108563816412977,0.741785171959569,0
"Otitis media",0.108563816412977,0.741785171959569,0
"Ultrasound scan normal",0.108563816412977,0.741785171959569,0
"Aspartate aminotransferase",0.0985642002913941,0.753559500793666,0.50732697740113
"Blood creatine phosphokinase",0.0961903564168513,0.756450159441929,0.649078014184397
